7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
8621,8622,8623,8624,8625,8626,8627,8621,8622,8623,8624,8625,8626,8621,8622,8623,8624,8625,8626,-1,-1,-1,-1,-1,-1,-1,-1,-1
8793,8794,8795,8796,8797,8798,8799,8793,8794,8795,8796,8797,8798,8793,8794,8795,8796,8797,8798,-1,-1,-1,-1,-1,-1,-1,-1,-1
8965,8966,8967,8968,8969,8970,8971,8965,8966,8967,8968,8969,8970,8965,8966,8967,8968,8969,8970,-1,-1,-1,-1,-1,-1,-1,-1,-1
9311,9311,9311,9311,9311,9311,9311,9311,9311,9311,9311,9311,9311,9311,9311,9312,9313,9314,9315,-1,-1,-1,-1,-1,-1,-1,-1,-1
9653,9654,9655,9656,9657,9658,9653,9654,9655,9656,9657,9658,9653,9654,9655,9656,9657,9658,9653,-1,-1,-1,-1,-1,-1,-1,-1,-1
9825,9826,9827,9828,9829,9830,9825,9826,9827,9828,9829,9830,9825,9826,9827,9828,9829,9830,9825,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
3812,3647,3648,3649,3812,3812,3812,3812,3812,3812,3812,3812,3647,3648,3649,3812,3812,3812,3812,-1,-1,-1,-1,-1,-1,-1,-1,-1
3812,3819,3820,3821,3812,3812,3812,3812,3812,3812,3812,3812,3819,3820,3821,3812,3812,3812,3812,-1,-1,-1,-1,-1,-1,-1,-1,-1
3812,3991,3992,3993,3812,3812,3812,3812,3812,3812,3812,3812,3991,3992,3993,3812,3812,3812,3812,-1,-1,-1,-1,-1,-1,-1,-1,-1
5525,5526,5527,5528,5529,5530,5525,5526,5527,5528,5529,5530,5525,5526,5527,5528,5529,5530,5525,-1,-1,-1,-1,-1,-1,-1,-1,-1
5697,5698,5699,5700,5701,5702,5697,5698,5699,5700,5701,5702,5697,5698,5699,5700,5701,5702,5697,-1,-1,-1,-1,-1,-1,-1,-1,-1
6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6041,6042,6043,6044,6045,6046,6047,-1,-1,-1,-1,-1,-1,-1,-1,-1
6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6214,6215,6216,6217,6218,6219,-1,-1,-1,-1,-1,-1,-1,-1,-1
6557,6558,6559,6560,6561,6562,6557,6558,6559,6560,6561,6562,6557,6558,6559,6560,6561,6562,6557,-1,-1,-1,-1,-1,-1,-1,-1,-1
6729,6730,6731,6732,6733,6734,6729,6730,6731,6732,6733,6734,6729,6730,6731,6732,6733,6734,6729,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
3647,3648,3639,3640,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3647,3647,3639,3640,3641,-1,-1,-1,-1,-1,-1,-1,-1,-1
3819,3820,3811,3812,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3819,3819,3811,3812,3813,-1,-1,-1,-1,-1,-1,-1,-1,-1
3991,3992,3983,3984,3985,3985,3985,3985,3985,3985,3985,3985,3985,3985,3991,3991,3983,3984,3985,-1,-1,-1,-1,-1,-1,-1,-1,-1
8621,8622,8623,8624,8625,8626,8621,8622,8623,8624,8625,8626,8621,8622,8623,8624,8625,8626,8627,-1,-1,-1,-1,-1,-1,-1,-1,-1
8793,8794,8795,8796,8797,8798,8793,8794,8795,8796,8797,8798,8793,8794,8795,8796,8797,8798,8799,-1,-1,-1,-1,-1,-1,-1,-1,-1
9137,9138,9139,9140,9141,9142,9143,9137,9138,9139,9140,9141,9137,9138,9139,9140,9141,9142,9143,-1,-1,-1,-1,-1,-1,-1,-1,-1
9309,9310,9311,9312,9313,9314,9315,9309,9310,9311,9312,9313,9309,9310,9311,9312,9313,9314,9315,-1,-1,-1,-1,-1,-1,-1,-1,-1
9653,9654,9655,9656,9657,9658,9653,9654,9655,9656,9657,9658,9653,9654,9655,9656,9657,9658,9653,-1,-1,-1,-1,-1,-1,-1,-1,-1
9825,9826,9827,9828,9829,9830,9825,9826,9827,9828,9829,9830,9825,9826,9827,9828,9829,9830,9825,-1,-1,-1,-1,-1,-1,-1,-1,-1
7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,7271,-1,-1,-1,-1,-1,-1,-1,-1,-1
